tradingDay,unix,symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
2021-02-01 05:31:00,1612137660000,ETHUSDT,1308.98,1310.5,1308.23,1308.23,1605554.86789,0,1225.574
2021-02-01 05:32:00,1612137720000,ETHUSDT,1308.24,1308.48,1300.37,1301.09,2142134.77156,0,1643.027
2021-02-01 05:33:00,1612137780000,ETHUSDT,1301.16,1304.0,1300.31,1302.88,3218927.92812,0,2471.31
2021-02-01 05:34:00,1612137840000,ETHUSDT,1302.82,1303.96,1300.08,1303.38,1407603.99025,0,1081.049
2021-02-01 05:35:00,1612137900000,ETHUSDT,1303.38,1303.38,1297.46,1298.15,872657.39854,0,671.188
2021-02-01 05:36:00,1612137960000,ETHUSDT,1298.12,1298.79,1292.61,1296.15,4359700.00906,0,3365.378
2021-02-01 05:37:00,1612138020000,ETHUSDT,1296.39,1297.07,1289.16,1291.65,3810624.39526,0,2948.584
2021-02-01 05:38:00,1612138080000,ETHUSDT,1291.5,1291.57,1279.15,1286.18,8978707.97966,0,6988.587
2021-02-01 05:39:00,1612138140000,ETHUSDT,1286.08,1290.65,1286.08,1289.8,3910187.22536,0,3034.768
2021-02-01 05:40:00,1612138200000,ETHUSDT,1289.81,1293.07,1289.2,1292.37,3762526.41795,0,2913.158
2021-02-01 05:41:00,1612138260000,ETHUSDT,1292.3,1292.38,1286.0,1289.76,3310245.07121,0,2568.443
2021-02-01 05:42:00,1612138320000,ETHUSDT,1289.65,1292.0,1287.54,1291.63,2346412.09919,0,1818.686
2021-02-01 05:43:00,1612138380000,ETHUSDT,1291.64,1292.53,1290.51,1291.91,1920208.76055,0,1486.37
2021-02-01 05:44:00,1612138440000,ETHUSDT,1292.05,1292.3,1288.66,1288.69,949973.24217,0,736.068
2021-02-01 05:45:00,1612138500000,ETHUSDT,1288.67,1292.18,1286.58,1287.26,590112.8978,0,457.439
2021-02-01 05:46:00,1612138560000,ETHUSDT,1287.27,1287.41,1281.63,1281.64,1501163.42481,0,1169.635
2021-02-01 05:47:00,1612138620000,ETHUSDT,1281.64,1284.4,1280.31,1283.47,2888437.45769,0,2252.308
2021-02-01 05:48:00,1612138680000,ETHUSDT,1283.5,1287.54,1283.35,1284.04,2530756.40592,0,1968.517
2021-02-01 05:49:00,1612138740000,ETHUSDT,1284.09,1286.94,1283.67,1285.27,1439647.84077,0,1119.947
2021-02-01 05:50:00,1612138800000,ETHUSDT,1285.27,1290.84,1285.13,1290.3,3570105.60121,0,2770.338
2021-02-01 05:51:00,1612138860000,ETHUSDT,1290.31,1290.5,1283.18,1283.45,1886689.03456,0,1465.416
2021-02-01 05:52:00,1612138920000,ETHUSDT,1283.5,1283.75,1272.07,1281.01,6639286.07018,0,5198.525
2021-02-01 05:53:00,1612138980000,ETHUSDT,1281.1,1281.27,1273.11,1276.6,3052102.30014,0,2390.92
2021-02-01 05:54:00,1612139040000,ETHUSDT,1276.61,1278.51,1272.0,1278.1,3695548.58401,0,2897.382
2021-02-01 05:55:00,1612139100000,ETHUSDT,1278.08,1278.2,1270.0,1273.85,2721550.76269,0,2137.798
2021-02-01 05:56:00,1612139160000,ETHUSDT,1274.16,1274.99,1271.02,1274.78,1504342.02419,0,1181.28
2021-02-01 05:57:00,1612139220000,ETHUSDT,1274.78,1278.93,1272.01,1276.79,4842913.68079,0,3795.774
2021-02-01 05:58:00,1612139280000,ETHUSDT,1276.8,1279.8,1274.65,1278.04,1366024.54914,0,1068.643
2021-02-01 05:59:00,1612139340000,ETHUSDT,1278.03,1278.2,1272.1,1277.42,1127785.40617,0,884.783
2021-02-01 06:00:00,1612139400000,ETHUSDT,1277.4,1280.0,1274.14,1279.63,2363473.89718,0,1849.521
2021-02-01 06:01:00,1612139460000,ETHUSDT,1279.6,1280.27,1274.22,1274.24,1506336.43993,0,1178.66
2021-02-01 06:02:00,1612139520000,ETHUSDT,1274.24,1277.49,1274.23,1276.82,791678.10193,0,620.196
2021-02-01 06:03:00,1612139580000,ETHUSDT,1276.97,1281.51,1276.95,1280.57,2459288.68158,0,1921.928
2021-02-01 06:04:00,1612139640000,ETHUSDT,1280.42,1280.5,1276.78,1279.25,990130.03946,0,774.526
2021-02-01 06:05:00,1612139700000,ETHUSDT,1279.41,1281.09,1278.79,1280.33,1117138.11361,0,872.756
